r,energy
1.50,-2099.53913389446
1.55,-2099.55538713815
1.60,-2099.56510723254
1.68,-2099.57206260624
1.80,-2099.57365064685
2.00,-2099.5726563965
2.25,-2099.57482715591
2.50,-2099.57295823476
2.75,-2099.57159235546
3.00,-2099.56630235919
3.25,-2099.55949408889

